text,label
Consultant invoice paid ₹174801,contractors
Paid ₹3077 for Facebook ads campaign,marketing
Monthly subscription Adobe 5629,software
Electricity bill payment ₹7805,utilities
Freelancer payment Uber ₹171853 on 2025-11-18,contractors
Subscription renewal Uber amount ₹10279,software
Renewal: domain Google payment 30676,cloud hosting
Renewal: domain HP payment ₹20584 on 2025-11-18,cloud hosting
Ola cab fare 26095 for commute,travel
Subscription renewal Flipkart amount 14031,software
Ordered desk from Airtel costing Rs 7118,office supplies
Bought keyboard for 13573 rupees from Swiggy,office supplies
Internet broadband recharge Dell ₹7235,utilities
Uber to client office 50866,travel
Uber to client office 54542,travel
Internet broadband recharge Google Rs 11047,utilities
Instagram ads charged 5913 for promotion,marketing
Uber to client office Rs 33957,travel
Purchased equipment: notebook 191039,equipment
Bought pens for 3730 rupees from Flipkart,office supplies
Freelancer payment Adobe ₹140177,contractors
Flight ticket to conference ₹17854,travel
Monthly subscription Airtel 12271,software
Monthly subscription Dell 4630,software
Ola cab fare ₹19514 for commute,travel
Bought desk for ₹2173 rupees from Dell,office supplies
Ola cab fare 41903 for commute,travel
Ola cab fare ₹28966 for commute,travel
Uber to client office 7576 on 2025-11-18,travel
Ordered A4 paper ream from GoDaddy costing 13389,office supplies
Renewal: domain Zoom payment 39935,cloud hosting
Consultant invoice paid 78949,contractors
Ordered printer ink from Google costing ₹12596,office supplies
Paid 11591 for GoDaddy hosting,cloud hosting
Purchased equipment: office chair ₹70680,equipment
Internet broadband recharge Flipkart 4434,utilities
Monthly subscription Jio ₹9022,software
Uber to client office ₹4779,travel
Ola cab fare 30816 for commute,travel
Bought laptop for team ₹124755 from Zoom on 2025-11-18,equipment
Electricity bill payment ₹9991 on 2025-11-18,utilities
Bought pens for ₹9541 rupees from HP,office supplies
Purchased equipment: mouse ₹82917,equipment
Purchased equipment: mouse 101215 on 2025-11-18,equipment
Instagram ads charged 11465 for promotion,marketing
Ordered printer ink from Adobe costing ₹5253 on 2025-11-18,office supplies
Consultant invoice paid 1301,contractors
Monthly subscription Zoom 10301,software
Monthly subscription Ola 2246,software
Renewal: domain Amazon payment 15882 on 2025-11-18,cloud hosting
Electricity bill payment 13885 on 2025-11-18,utilities
Paid 8437 for Facebook ads campaign,marketing
Purchased equipment: mouse ₹154510,equipment
Bought laptop for team ₹28300 from Dell,equipment
Electricity bill payment 4477,utilities
Purchased equipment: A4 paper ream 127059,equipment
Consultant invoice paid 50454,contractors
Electricity bill payment 12301,utilities
Paid 2168 for Facebook ads campaign,marketing
Internet broadband recharge Flipkart ₹7586,utilities
Paid 12904 for Facebook ads campaign,marketing
Paid 44394 for Swiggy hosting,cloud hosting
Purchased equipment: desk 19410,equipment
Ola cab fare 28540 for commute,travel
Renewal: domain Adobe payment ₹45682 on 2025-11-18,cloud hosting
Flight ticket to conference 19326,travel
Electricity bill payment ₹2885,utilities
Consultant invoice paid 131460,contractors
Uber to client office ₹43802,travel
Ola cab fare ₹10453 for commute,travel
Ola cab fare ₹45340 for commute,travel
Monthly subscription Jio ₹1847,software
Ola cab fare 1537 for commute,travel
Ordered laptop from Zomato costing 12308,office supplies
Subscription renewal Google amount 3688,software
Paid Rs 14901 for Facebook ads campaign,marketing
Ordered monitor from Google costing ₹12098,office supplies
Flight ticket to conference ₹11610,travel
Freelancer payment Zoom 72441,contractors
Purchased equipment: pens 98792 on 2025-11-18,equipment
Subscription renewal Swiggy amount 13956,software
Bought desk for 2124 rupees from Ola,office supplies
Consultant invoice paid 29402,contractors
Flight ticket to conference 14607,travel
Ola cab fare ₹7746 for commute,travel
Ola cab fare ₹6469 for commute,travel
Consultant invoice paid 176763,contractors
Paid ₹10830 for Facebook ads campaign,marketing
Electricity bill payment 11409,utilities
Freelancer payment Flipkart 143728 on 2025-11-18,contractors
Uber to client office Rs 55676,travel
Bought monitor for 4090 rupees from Amazon,office supplies
Monthly subscription Google 13421,software
Bought A4 paper ream for 2229 rupees from Ola on 2025-11-18,office supplies
Bought office chair for 5969 rupees from GoDaddy,office supplies
Instagram ads charged 2176 for promotion,marketing
Purchased equipment: monitor 144542,equipment
Ordered desk from Dell costing 5041 on 2025-11-18,office supplies
Purchased equipment: keyboard 121745,equipment
Paid Rs 21309 for Zomato hosting,cloud hosting
Flight ticket to conference ₹34870,travel
Electricity bill payment 14072,utilities
Monthly subscription Jio ₹14650,software
Internet broadband recharge Jio ₹12053,utilities
Uber to client office Rs 45111,travel
Paid 48997 for Jio hosting,cloud hosting
Flight ticket to conference 27022,travel
Ordered laptop from Ola costing 5219,office supplies
Purchased equipment: printer ink 101780,equipment
Subscription renewal HP amount 13947,software
Bought pens for ₹574 rupees from Google,office supplies
Ola cab fare ₹23104 for commute,travel
Consultant invoice paid Rs 195240,contractors
Monthly subscription Jio ₹7532,software
Flight ticket to conference ₹39174 on 2025-11-18,travel
Instagram ads charged 915 for promotion,marketing
Purchased equipment: mouse ₹118575,equipment
Renewal: domain Airtel payment ₹7467,cloud hosting
Purchased equipment: pens ₹21905,equipment
Ordered notebook from Amazon costing 5038,office supplies
Ola cab fare 606 for commute,travel
Subscription renewal Zoom amount 13753,software
Ordered office chair from Jio costing 7632,office supplies
Consultant invoice paid ₹76894 on 2025-11-18,contractors
Flight ticket to conference 30252 on 2025-11-18,travel
Renewal: domain Uber payment Rs 38792,cloud hosting
Flight ticket to conference ₹51160,travel
Renewal: domain Zoom payment 12907,cloud hosting
Paid ₹2499 for Facebook ads campaign,marketing
Paid 3002 for Facebook ads campaign,marketing
Internet broadband recharge Microsoft 10634,utilities
Flight ticket to conference 4575,travel
Ordered desk from Airtel costing ₹1315,office supplies
Ordered pens from Airtel costing 1357 on 2025-11-18,office supplies
Bought laptop for team 162129 from Jio,equipment
Internet broadband recharge Zomato ₹10779,utilities
Bought laptop for team ₹128101 from GoDaddy,equipment
Flight ticket to conference Rs 33166,travel
Internet broadband recharge Zoom ₹10091,utilities
Ola cab fare ₹50855 for commute,travel
Flight ticket to conference 6293,travel
Paid 9647 for Facebook ads campaign,marketing
Consultant invoice paid 186816,contractors
Flight ticket to conference 44016,travel
Bought laptop for team 143297 from Flipkart,equipment
Monthly subscription Airtel ₹3245,software
Paid 33471 for Ola hosting,cloud hosting
Ordered monitor from Microsoft costing 14458,office supplies
Instagram ads charged 13355 for promotion on 2025-11-18,marketing
Freelancer payment Microsoft 117444,contractors
Subscription renewal Zoom amount 5170,software
Monthly subscription Airtel 7318,software
Bought laptop for team 62349 from Jio,equipment
Purchased equipment: monitor 155369,equipment
Renewal: domain Ola payment ₹10706,cloud hosting
Paid 1602 for Facebook ads campaign,marketing
Freelancer payment Zomato ₹109762,contractors
Subscription renewal Jio amount ₹6242,software
Renewal: domain Swiggy payment ₹9771,cloud hosting
Purchased equipment: A4 paper ream 194952,equipment
Bought notebook for ₹13780 rupees from Ola,office supplies
Bought laptop for team ₹85524 from Jio,equipment
Subscription renewal Jio amount ₹7589,software
Purchased equipment: desk 14308,equipment
Ola cab fare 40392 for commute,travel
Paid 4635 for Zoom hosting,cloud hosting
Bought laptop for team Rs 112355 from Zoom,equipment
Freelancer payment Ola 94610,contractors
Renewal: domain HP payment 48381,cloud hosting
Flight ticket to conference 54520,travel
Instagram ads charged 1133 for promotion on 2025-11-18,marketing
Monthly subscription Amazon ₹14612,software
Bought laptop for team ₹134098 from Jio,equipment
Monthly subscription Ola 14225,software
Renewal: domain HP payment 28836,cloud hosting
Consultant invoice paid 131076,contractors
Uber to client office 47750,travel
Instagram ads charged ₹5362 for promotion,marketing
Ola cab fare 39593 for commute,travel
Internet broadband recharge Amazon 10173,utilities
Ordered keyboard from Flipkart costing 6052,office supplies
Bought laptop for Rs 11209 rupees from GoDaddy on 2025-11-18,office supplies
Freelancer payment Airtel ₹149699,contractors
Internet broadband recharge Airtel 7373,utilities
Consultant invoice paid Rs 66434,contractors
Bought laptop for team ₹40870 from Jio,equipment
Internet broadband recharge Uber 4778,utilities
Paid ₹7506 for Facebook ads campaign,marketing
Paid ₹43967 for HP hosting on 2025-11-18,cloud hosting
Ola cab fare ₹55894 for commute,travel
Instagram ads charged ₹8435 for promotion,marketing
Paid 530 for Facebook ads campaign,marketing
Paid ₹1177 for Facebook ads campaign,marketing
Purchased equipment: keyboard Rs 117330,equipment
Paid 44771 for Adobe hosting,cloud hosting
Instagram ads charged 7188 for promotion,marketing
Bought laptop for team ₹53163 from GoDaddy,equipment
Subscription renewal Airtel amount ₹14762 on 2025-11-18,software
Monthly subscription Microsoft ₹4596,software
Paid 38984 for Zoom hosting,cloud hosting
Flight ticket to conference Rs 2799 on 2025-11-18,travel
Uber to client office 50363 on 2025-11-18,travel
Ola cab fare ₹31750 for commute,travel
Consultant invoice paid 20129,contractors
Internet broadband recharge Uber ₹10039,utilities
Flight ticket to conference ₹26230,travel
Renewal: domain Airtel payment ₹30770,cloud hosting
Paid 4854 for Facebook ads campaign,marketing
Instagram ads charged 9564 for promotion,marketing
Bought laptop for team Rs 90882 from Adobe,equipment
Internet broadband recharge Uber Rs 9657,utilities
Purchased equipment: desk 12143,equipment
Freelancer payment HP ₹96928 on 2025-11-18,contractors
Monthly subscription Airtel ₹4828,software
Uber to client office 44690 on 2025-11-18,travel
Freelancer payment HP 147232,contractors
Bought laptop for team ₹20552 from Jio,equipment
Flight ticket to conference 34134,travel
Flight ticket to conference ₹20975,travel
Ola cab fare 33347 for commute,travel
Ola cab fare ₹24240 for commute on 2025-11-18,travel
Electricity bill payment 13154,utilities
Purchased equipment: laptop ₹161423 on 2025-11-18,equipment
Purchased equipment: desk 174895,equipment
Subscription renewal Amazon amount ₹11577 on 2025-11-18,software
Flight ticket to conference 27163,travel
Purchased equipment: office chair ₹195014,equipment
Flight ticket to conference 34537,travel
Flight ticket to conference 44393,travel
Uber to client office 12700,travel
Ola cab fare ₹46296 for commute,travel
Flight ticket to conference 36832,travel
Renewal: domain Google payment 25083,cloud hosting
Paid Rs 4812 for Facebook ads campaign,marketing
Uber to client office ₹14123,travel
Uber to client office 40449 on 2025-11-18,travel
Bought laptop for team ₹23760 from Uber,equipment
Purchased equipment: A4 paper ream 11358,equipment
Purchased equipment: notebook ₹85299,equipment
Paid 15418 for Microsoft hosting,cloud hosting
Instagram ads charged 695 for promotion,marketing
Ola cab fare ₹707 for commute,travel
Flight ticket to conference 42129,travel
Bought laptop for team 60544 from Adobe,equipment
Uber to client office 1023,travel
Monthly subscription GoDaddy 14127,software
Flight ticket to conference ₹43960,travel
Purchased equipment: notebook ₹11790,equipment
Uber to client office Rs 38272,travel
Subscription renewal Amazon amount ₹7725,software
Bought laptop for team ₹190955 from Zomato,equipment
Ola cab fare ₹14573 for commute,travel
Paid 6221 for Facebook ads campaign,marketing
Monthly subscription HP 11246 on 2025-11-18,software
Internet broadband recharge Zoom 1379,utilities
Bought laptop for team ₹150682 from Uber,equipment
Bought laptop for team ₹188335 from Adobe,equipment
Paid 29395 for Zomato hosting,cloud hosting
Internet broadband recharge Google 9255,utilities
Consultant invoice paid ₹196508 on 2025-11-18,contractors
Electricity bill payment 8966 on 2025-11-18,utilities
Purchased equipment: pens ₹117182,equipment
Electricity bill payment 7448,utilities
Paid ₹2043 for Facebook ads campaign,marketing
Bought laptop for team 10910 from GoDaddy,equipment
Electricity bill payment ₹13589,utilities
Paid 14439 for Facebook ads campaign,marketing
Electricity bill payment ₹4043 on 2025-11-18,utilities
Ordered laptop from Adobe costing Rs 11110,office supplies
Consultant invoice paid ₹142494,contractors
Ordered desk from GoDaddy costing ₹4839,office supplies
Flight ticket to conference 50729,travel
Paid 3721 for Facebook ads campaign,marketing
Instagram ads charged 9207 for promotion,marketing
Consultant invoice paid 84554,contractors
Instagram ads charged ₹7858 for promotion,marketing
Paid 1044 for Facebook ads campaign,marketing
Paid ₹4277 for Facebook ads campaign,marketing
Internet broadband recharge Swiggy 1614 on 2025-11-18,utilities
Consultant invoice paid ₹159052 on 2025-11-18,contractors
Monthly subscription Adobe 14345,software
Monthly subscription Zomato ₹12248,software
Purchased equipment: notebook 192354,equipment
Flight ticket to conference 25047,travel
Freelancer payment Zoom ₹123160,contractors
Purchased equipment: monitor 63248,equipment
Subscription renewal Dell amount ₹365,software
Electricity bill payment ₹3314,utilities
Subscription renewal Adobe amount 10825,software
Purchased equipment: mouse ₹130803,equipment
Instagram ads charged ₹8100 for promotion,marketing
Ordered office chair from Zoom costing 13847,office supplies
Bought A4 paper ream for Rs 13904 rupees from Jio,office supplies
Monthly subscription Zoom ₹6214,software
Purchased equipment: mouse ₹14123,equipment
Bought desk for ₹11932 rupees from Amazon,office supplies
Bought keyboard for 13308 rupees from Zoom,office supplies
Bought laptop for team 60313 from GoDaddy,equipment
Consultant invoice paid 107437,contractors
Ola cab fare 42943 for commute on 2025-11-18,travel
Consultant invoice paid 145887,contractors
Paid 42464 for Adobe hosting,cloud hosting
Renewal: domain Zomato payment ₹2988,cloud hosting
Purchased equipment: office chair 29489,equipment
Ordered monitor from GoDaddy costing 356,office supplies
Consultant invoice paid ₹79453,contractors
Consultant invoice paid 87960,contractors
Paid ₹3719 for Zoom hosting,cloud hosting
Paid 40430 for Airtel hosting,cloud hosting
Bought pens for 12937 rupees from Microsoft,office supplies
Consultant invoice paid 179177,contractors
Ola cab fare ₹46834 for commute,travel
Consultant invoice paid 194896 on 2025-11-18,contractors
Ola cab fare ₹49995 for commute,travel
Instagram ads charged 9225 for promotion on 2025-11-18,marketing
Freelancer payment Zoom 157480,contractors
Ola cab fare ₹51163 for commute,travel
Subscription renewal Google amount 2878,software
Uber to client office ₹4246,travel
Ola cab fare ₹23766 for commute,travel
Purchased equipment: laptop 61261 on 2025-11-18,equipment
Consultant invoice paid 100585,contractors
Paid 9983 for Facebook ads campaign,marketing
Consultant invoice paid 193642,contractors
Subscription renewal Airtel amount 4692 on 2025-11-18,software
Monthly subscription Google 3047,software
Internet broadband recharge Dell 7283 on 2025-11-18,utilities
Electricity bill payment 2380,utilities
Electricity bill payment 1311,utilities
Bought laptop for team ₹152513 from Zomato,equipment
Paid 43296 for Flipkart hosting,cloud hosting
Consultant invoice paid ₹113841 on 2025-11-18,contractors
Subscription renewal Zoom amount 9242,software
Consultant invoice paid 181993 on 2025-11-18,contractors
Renewal: domain Ola payment ₹5826,cloud hosting
Paid 5720 for Facebook ads campaign,marketing
Purchased equipment: mouse 199266,equipment
Renewal: domain Amazon payment ₹42665,cloud hosting
Subscription renewal Zoom amount ₹9142,software
Internet broadband recharge Uber ₹10417,utilities
Electricity bill payment 12181,utilities
Consultant invoice paid ₹54945,contractors
Paid ₹35385 for Google hosting,cloud hosting
Internet broadband recharge Flipkart 11088,utilities
Consultant invoice paid ₹154879,contractors
Internet broadband recharge Google 13432,utilities
Paid ₹20724 for Microsoft hosting,cloud hosting
Instagram ads charged 8469 for promotion,marketing
Electricity bill payment 10512,utilities
Instagram ads charged ₹8122 for promotion,marketing
Internet broadband recharge Google Rs 14280,utilities
Consultant invoice paid 172198,contractors
Internet broadband recharge Adobe 1454,utilities
Ordered notebook from Ola costing ₹8908,office supplies
Purchased equipment: desk 39677,equipment
Freelancer payment Zoom 189476,contractors
Subscription renewal Ola amount ₹7468,software
Paid ₹15728 for Adobe hosting,cloud hosting
Freelancer payment Swiggy 166877,contractors
Monthly subscription HP 9440,software
Flight ticket to conference 19061,travel
Renewal: domain GoDaddy payment 4085,cloud hosting
Paid ₹11755 for Facebook ads campaign,marketing
Consultant invoice paid 152368,contractors
Paid 26601 for Microsoft hosting,cloud hosting
Freelancer payment Adobe 86796,contractors
Paid 41804 for Dell hosting on 2025-11-18,cloud hosting
Consultant invoice paid 56535,contractors
Paid ₹13015 for Facebook ads campaign,marketing
Ordered printer ink from Amazon costing 10359,office supplies
Instagram ads charged 111 for promotion,marketing
Paid 2704 for Facebook ads campaign on 2025-11-18,marketing
Freelancer payment Ola 98476 on 2025-11-18,contractors
Ola cab fare 28230 for commute on 2025-11-18,travel
Purchased equipment: A4 paper ream ₹165629,equipment
Bought monitor for ₹13487 rupees from Amazon,office supplies
Paid 3851 for Facebook ads campaign on 2025-11-18,marketing
Flight ticket to conference 9086,travel
Paid ₹9328 for Facebook ads campaign,marketing
Internet broadband recharge Airtel 10390,utilities
Internet broadband recharge Swiggy 1520,utilities
Consultant invoice paid 83445,contractors
Subscription renewal Zoom amount 9930,software
Bought pens for 3466 rupees from Swiggy,office supplies
Ola cab fare 51467 for commute,travel
Renewal: domain Uber payment 42017,cloud hosting
Freelancer payment Zomato 35598,contractors
Instagram ads charged ₹12721 for promotion,marketing
Bought notebook for 752 rupees from Ola,office supplies
Ola cab fare 50373 for commute on 2025-11-18,travel
Paid ₹5177 for Facebook ads campaign,marketing
Paid 6501 for Facebook ads campaign,marketing
Paid 48038 for Ola hosting,cloud hosting
Electricity bill payment 10131,utilities
Instagram ads charged ₹11698 for promotion on 2025-11-18,marketing
Purchased equipment: desk 145586,equipment
Paid 12108 for Facebook ads campaign on 2025-11-18,marketing
Electricity bill payment ₹1146,utilities
Paid 33674 for Adobe hosting,cloud hosting
Freelancer payment GoDaddy 27975 on 2025-11-18,contractors
Bought laptop for team ₹13221 from Amazon,equipment
Consultant invoice paid 47913,contractors
Electricity bill payment 4167,utilities
Paid 8025 for Google hosting,cloud hosting
Bought laptop for team 28068 from Amazon,equipment
Ola cab fare 36347 for commute,travel
Ola cab fare 15997 for commute,travel
Monthly subscription Dell 12559,software
Bought desk for 5775 rupees from Uber on 2025-11-18,office supplies
Flight ticket to conference 55740,travel
Subscription renewal Jio amount 1081,software
Ordered notebook from Zomato costing 14801,office supplies
Internet broadband recharge Dell ₹9615,utilities
Consultant invoice paid ₹149850,contractors
Paid 4376 for Facebook ads campaign,marketing
Flight ticket to conference ₹17922,travel
Paid ₹1885 for Facebook ads campaign,marketing
Internet broadband recharge Airtel 2078,utilities
Ola cab fare ₹55968 for commute,travel
Ola cab fare ₹2743 for commute,travel
Paid Rs 5928 for Facebook ads campaign,marketing
Instagram ads charged 14101 for promotion,marketing
Internet broadband recharge Flipkart ₹2089,utilities
Subscription renewal GoDaddy amount 13595,software
Paid Rs 17162 for Google hosting,cloud hosting
Monthly subscription Zomato ₹13359,software
Flight ticket to conference ₹30311,travel
Electricity bill payment ₹8228,utilities
Instagram ads charged ₹14981 for promotion,marketing
Paid 10244 for Facebook ads campaign,marketing
Purchased equipment: printer ink 83341,equipment
Bought laptop for team 15119 from Uber,equipment
Purchased equipment: laptop ₹141699,equipment
Bought laptop for ₹3688 rupees from Airtel,office supplies
Uber to client office 34796,travel
Instagram ads charged ₹10862 for promotion,marketing
Ordered notebook from HP costing 9532,office supplies
Instagram ads charged ₹9807 for promotion,marketing
Freelancer payment Zomato 8394,contractors
Paid 13808 for Facebook ads campaign,marketing
Ola cab fare ₹2587 for commute,travel
Subscription renewal Amazon amount ₹7931,software
Monthly subscription HP 5682,software
Flight ticket to conference 9780,travel
Bought laptop for team 29013 from Swiggy,equipment
Renewal: domain Airtel payment ₹21342,cloud hosting
Electricity bill payment ₹10736,utilities
Freelancer payment Uber 46967,contractors
Instagram ads charged 11601 for promotion,marketing
Ordered laptop from GoDaddy costing 5313,office supplies
Renewal: domain Zomato payment ₹9417 on 2025-11-18,cloud hosting
Freelancer payment Airtel Rs 167772,contractors
Flight ticket to conference ₹17480,travel
Freelancer payment Ola ₹189852,contractors
Electricity bill payment 8178,utilities
Purchased equipment: laptop 180647,equipment
Ordered office chair from Ola costing ₹5321 on 2025-11-18,office supplies
Flight ticket to conference 10645,travel
Paid 40415 for Airtel hosting,cloud hosting
Instagram ads charged ₹2673 for promotion,marketing
Monthly subscription Jio 11929,software
Ola cab fare 3352 for commute,travel
Ordered office chair from Airtel costing ₹7105,office supplies
Purchased equipment: printer ink ₹16746,equipment
Paid 20408 for Adobe hosting,cloud hosting
Uber to client office ₹25496,travel
Freelancer payment GoDaddy ₹12696,contractors
Subscription renewal Swiggy amount ₹9344,software
Renewal: domain Flipkart payment 35684,cloud hosting
Ordered keyboard from Swiggy costing 13508,office supplies
Purchased equipment: notebook ₹134849,equipment
Ordered laptop from Zoom costing 14853,office supplies
Paid 2932 for Facebook ads campaign,marketing
Monthly subscription GoDaddy ₹7036,software
Monthly subscription Swiggy 13766,software
Paid 36661 for Flipkart hosting,cloud hosting
Internet broadband recharge Zomato 12986,utilities
Renewal: domain Jio payment 9912,cloud hosting
Renewal: domain Zomato payment 37076,cloud hosting
Freelancer payment Zomato 70241,contractors
Ordered pens from GoDaddy costing ₹6702,office supplies
Consultant invoice paid Rs 87899,contractors
Uber to client office ₹1425,travel
Ola cab fare Rs 56345 for commute,travel
Paid 12781 for Facebook ads campaign,marketing
Paid 14053 for Uber hosting,cloud hosting
Bought laptop for team 24734 from Swiggy,equipment
Bought laptop for team Rs 147438 from Jio,equipment
Monthly subscription Swiggy ₹4187 on 2025-11-18,software
Freelancer payment Dell 72821,contractors
Renewal: domain Microsoft payment 16055,cloud hosting
Purchased equipment: desk ₹101687,equipment
Uber to client office ₹18782 on 2025-11-18,travel
Monthly subscription Swiggy ₹10706,software
Electricity bill payment 14266 on 2025-11-18,utilities
Paid 9949 for Facebook ads campaign,marketing
Ola cab fare 27874 for commute,travel
Monthly subscription Adobe 11195,software
Bought monitor for 9298 rupees from Zoom,office supplies
Renewal: domain Adobe payment 22238,cloud hosting
Uber to client office ₹12444,travel
Ordered laptop from HP costing 6720,office supplies
Purchased equipment: pens 119724,equipment
Monthly subscription Airtel 11344,software
Freelancer payment Zoom 45560,contractors
Renewal: domain Adobe payment ₹48756,cloud hosting
Instagram ads charged ₹10822 for promotion,marketing
Ola cab fare ₹24458 for commute,travel
Renewal: domain Adobe payment 41775 on 2025-11-18,cloud hosting
Monthly subscription Zoom 14313,software
Paid 5714 for Facebook ads campaign,marketing
Internet broadband recharge GoDaddy 14229,utilities
Instagram ads charged 177 for promotion,marketing
Instagram ads charged 2220 for promotion,marketing
Purchased equipment: office chair 19889,equipment
Flight ticket to conference ₹12589 on 2025-11-18,travel
Subscription renewal Uber amount ₹5213,software
Ola cab fare ₹54091 for commute,travel
Internet broadband recharge Dell 9870,utilities
Paid 5985 for Facebook ads campaign,marketing
Consultant invoice paid 59804,contractors
Bought laptop for team 106099 from GoDaddy,equipment
Uber to client office ₹40937,travel
Renewal: domain Microsoft payment 3361,cloud hosting
Uber to client office 13567,travel
Renewal: domain Microsoft payment 17893,cloud hosting
Renewal: domain Zoom payment ₹7915,cloud hosting
Purchased equipment: laptop 62363,equipment
Freelancer payment Dell ₹78424,contractors
Monthly subscription Dell ₹5516 on 2025-11-18,software
Paid 37827 for Zomato hosting on 2025-11-18,cloud hosting
Bought laptop for team 77080 from Flipkart,equipment
Uber to client office 6641,travel
Freelancer payment HP Rs 112672,contractors
Ordered A4 paper ream from Amazon costing 10968,office supplies
Uber to client office 24520,travel
Internet broadband recharge Ola 11403,utilities
Instagram ads charged 11506 for promotion,marketing
Renewal: domain Jio payment 31832,cloud hosting
Consultant invoice paid ₹161263,contractors
Paid 1950 for Facebook ads campaign on 2025-11-18,marketing
Flight ticket to conference 50400,travel
Flight ticket to conference Rs 45204,travel
Subscription renewal Adobe amount 10974,software
Ordered A4 paper ream from Amazon costing 8383,office supplies
Paid ₹21213 for HP hosting,cloud hosting
Ordered notebook from Zoom costing 9119,office supplies
Internet broadband recharge Adobe ₹7441,utilities
Flight ticket to conference 48939,travel
Bought printer ink for 13072 rupees from Swiggy,office supplies
Bought laptop for team 181598 from Zoom,equipment
Ordered notebook from Swiggy costing 13933,office supplies
Purchased equipment: monitor Rs 197672,equipment
Bought monitor for 13696 rupees from Airtel,office supplies
Freelancer payment Dell 13000,contractors
Electricity bill payment ₹10108,utilities
Consultant invoice paid 50959,contractors
Renewal: domain HP payment 30175,cloud hosting
Purchased equipment: desk 22732,equipment
Bought laptop for team 191355 from HP,equipment
Consultant invoice paid 159901,contractors
Subscription renewal Ola amount 5717,software
Electricity bill payment 4997,utilities
